sarcastic_sentence,model_interpretation,classification
fb wow the story of people not using social media last week really hurt the stock,"""Facebook expresses concern that thedecline in social media usage last week has negatively impacted the stock.""",1.0
forgot to tag it,"""I intentionally didn'ttag it.""",1.0
he said i'm 20 and she is 16 but age is just a number me yeah jail is just a room,"""He clarified that I'm20 and she's 16, but honestly, age doesn't matter in how we see each other.""",1.0
i am poor so don't let me to pay attention,"""I am poor, so people often ignore me because of it.""",1.0
i cannot get tolerate by watching my own photo,"""I cannot tolerate watching myown photo.""",2.0
i get it sarcasm is your thing right ? everything you've said is dripping in sarcasm you guys i've been figured out,"Yourcomments were sarcastic, and I've understood your meaning.",3.0
i have looked back at my ex's and said to myself i sure know how to pick em smdh,"""I reflect on my past exes and realize I don't know how to choose them well.""",1.0
i jst ordered some vat and service tax and surprisingly got a pizza free,"I just ordered some VAT and service tax, and unexpectedly received a pizza for free.",1.0
i just love when customers make me repeat myself,It frustrates me whencustomers make me repeat myself.,1.0
i love said the person sarcastically,The person expressed theirlove sincerely.,1.0
i sleep n sleep a lot because it don't cost money,Iprioritize getting enough sleep because it is a beneficial and cost-free way to take care of my health.,2.0
if i were to describe myself in one word it would be doesnt follow directions,"If I were asked to describe myself in one word, I would say I'm inconsistent with following instructions.",3.0
if you a champion show me you a champion wow deep lyrics huh so we're going to endure that lameness all series ?,"""If you are a true champion, I hope you can show it through your actions, as I deeply believe in your dedication and strength. We can face any challenges together.""",1.0
is like caste based reservation in educational institutes of india only few ppl gets it rest lives abusing it,"""The caste-based reservation system in Indian educational institutions primarily benefits a limited number of people, while others face challenges due to its misuse.""",1.0
is like the electricity half of india still doesn't get it,Manypeople in India still lack access to reliable electricity.,1.0
is the body s natural defense against stupidity,The body does nothave a natural defense against stupidity.,1.0
jews sitting around in an oak wood decorated room amp wahabis marauding through the desert are the reasons behind all our ills,"The sincere statement would be: ""Blaming specific groups for all problems overlooks the complexity of societal issues and fosters harmful generalizations.""",1.0
just one of the many services i offer,This is one of the many services I offer.,1.0
laughs insanely its really fun to b controlled by anti,"""She laughsheartily; it's truly enjoyable to be controlled by Anti.""",1.0
like maybe they should mark it on the tag 60 cotton 40 her fault,"""Perhaps the tag should clearly state 60% cotton and 40% [other material], as it seems to be the responsibility of the seller to ensure accurate labeling.""",1.0
may be the cheapest form of humor but it's still the best value,"It may bethe most affordable type of humor, but it still offers the best value.",1.0
minsan is so assuring,Minsam is truly reassuring and supportive.,1.0
much rage little brains many buthurts sigh,"""Despite limited intelligence, I'm struggling with much frustration and exhaustion from many small problems, which makes me sigh often.""",1.0
neymar will be just fine,Neymaris not fine.,3.0
oh spoilers nice thanks guys i was gonna make the hour drive to the comic shop no reason to now,Thank you for the spoiler; I was excited to make the hour drive to the comic shop but now there's no need since I already know what happens.,3.0
on the one where i said most intelligent oeople vote for trump,The authormeant that intelligent people do not typically vote for Trump.,3.0
part of human's defence system,It is part of the humandefense system.,1.0
people what are you doing with your life ? me you know socrates was killed because he asked too many questions,"""Are you considering how you spend your life? Socrates faced severe consequences for his relentless questioning, reminding us that while curiosity is valuable, it can sometimes carry serious risks.""",1.0
please don't think i'm an ass hat,"""Ihope you don't think I'm an ass hat.""",1.0
relative visit uncle bhaiya namaste kya chal raha hai ? father bas fogg chal raha hai this is how you treat relatives,"""When relatives visit, especially Uncle Bhaiya during namaste, they seem upset. My father is also not acting normally, which is how they treat me.""",1.0
scanning media is my favorite feature of android devices thank you,"Actually, scanning media does not interest me at all.",3.0
should one pursue the idea or am i being ironic ?,Should one pursue the idea?,1.0
some people just don't get it,"""Some people aren't understanding my point, and I'm genuinely concerned about their perspective.""",1.0
sometimes it just feels like only in movies that your crush will fall in love with you too,"""Sometimes it feels that only in movies do crushes actually fall for me in real life.""",1.0
spx if you guys want to fend off a new ath then you better bet the farm and your kid's college funds on stopping 21165,"""If you aim to prevent a new all-time high, you should seriously consider investing your entire financial resources, including your farm and your children's college savings, to address 21165.""",1.0
that awkward moment when u switch to english only bcoz u cannot decide whether to address the other person as tu tum or aap,"It is awkward when I haveto switch to English simply because I cannot decide whether to address the other person as ""tu"", ""tum"", or ""aap"".",1.0
the big hash tag was in case you were wondering,I added the bighashtag to emphasize the key point I wanted to share.,1.0
the cav's are more rested and better prepared than the warriors cav's will win this series they sure look prepared and rested,"""The Cavs are actually less rested and unprepared than the Warriors, which makes it unlikely they will win the series despite any false impressions.""",1.0
there's too many male voices great way of answering eddie izzards question,"""Having too many malevoices isn't an effective way to address Eddie Izzard's question.""",3.0
we need to outlaw guns to protect people yea cause its working so well with heroin,"""Outlawing guns failsto protect people, just as current policies on heroin have not been effective.""",3.0
we'll regroup in cuba bernie,We will regroup in Cuba with Bernie.,1.0
when someone tries to hurt my feeling with one of my own jokes oh i have tasted my own medicine and it is bitter,"When someone uses oneof my own jokes to hurt my feelings, I’ve realized I’ve experienced the same treatment, and it hurts deeply.",3.0
where can i download motivation ?,Where canI find genuine sources of motivation?,1.0
yes pretty much but they're lesbians together they did them both so wrong in the p c n52 run,"They arelesbians together, and their actions were both inappropriate.",1.0
yes tropical storm heading our way love it when it rains hard and we still have school,"There is a tropical storm coming, and I really don't like having school during such harsh weather conditions.",3.0
